2025-01-14 00:29:52 [http-nio-8083-exec-9] INFO  : Log Message: Http failure response for http://localhost:8083/api/userSchedules/2025-01-14: 0 Unknown Error
2025-01-14 00:29:52 [http-nio-8083-exec-8] INFO  : Log Message: Http failure response for http://localhost:8083/api/userSchedules/scheduleCache: 0 Unknown Error
2025-01-14 09:50:22 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=9h19m21s556ms750µs200ns).
2025-01-14 12:14:18 [main] INFO  : Starting ProApiApplication using Java 23.0.1 with PID 21712 (D:\Projects\Support Java\research_java\pro-api\target\classes started by Anshul in D:\Projects\Support Java\research_java\pro-api)
2025-01-14 12:14:18 [main] INFO  : The following 1 profile is active: "local"
2025-01-14 12:14:20 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-14 12:14:20 [main] INFO  : Finished Spring Data repository scanning in 192 ms. Found 18 JPA repository interfaces.
2025-01-14 12:14:21 [main] INFO  : Tomcat initialized with port 8080 (http)
2025-01-14 12:14:21 [main] INFO  : Initializing ProtocolHandler ["http-nio-8080"]
2025-01-14 12:14:21 [main] INFO  : Starting service [Tomcat]
2025-01-14 12:14:21 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.26]
2025-01-14 12:14:21 [main] INFO  : Initializing Spring embedded WebApplicationContext
2025-01-14 12:14:21 [main] INFO  : Root WebApplicationContext: initialization completed in 2882 ms
2025-01-14 12:14:21 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-14 12:14:21 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2025-01-14 12:14:22 [main] INFO  : HHH000026: Second-level cache disabled
2025-01-14 12:14:22 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-14 12:14:22 [main] INFO  : HikariPool-1 - Starting...
2025-01-14 12:14:23 [main] INFO  : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@37d3aa8c
2025-01-14 12:14:23 [main] INFO  : HikariPool-1 - Start completed.
2025-01-14 12:14:23 [main] WARN  : HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-01-14 12:14:23 [main] WARN  : HHH000038: Composite-id class does not override equals(): com.pro.api.models.dataaccess.ViPartLookupId
2025-01-14 12:14:23 [main] WARN  : HHH000039: Composite-id class does not override hashCode(): com.pro.api.models.dataaccess.ViPartLookupId
2025-01-14 12:14:23 [main] WARN  : HHH000038: Composite-id class does not override equals(): com.pro.api.models.dataaccess.ViProjectTotalsSummedId
2025-01-14 12:14:23 [main] WARN  : HHH000039: Composite-id class does not override hashCode(): com.pro.api.models.dataaccess.ViProjectTotalsSummedId
2025-01-14 12:14:25 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-14 12:14:25 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 12:14:25 [main] INFO  : Hibernate is in classpath; If applicable, HQL parser will be used.
2025-01-14 12:14:27 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-01-14 12:14:27 [main] INFO  : Starting ProtocolHandler ["http-nio-8080"]
2025-01-14 12:14:27 [main] WARN  : Exception encountered during context initialization - cancelling refresh attempt: org.springframework.context.ApplicationContextException: Failed to start bean 'webServerStartStop'
2025-01-14 12:14:27 [main] INFO  : Closing JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 12:14:27 [main] INFO  : HikariPool-1 - Shutdown initiated...
2025-01-14 12:14:27 [main] INFO  : HikariPool-1 - Shutdown completed.
2025-01-14 12:14:27 [main] INFO  : 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
2025-01-14 12:14:27 [main] ERROR : 

***************************
APPLICATION FAILED TO START
***************************

Description:

Web server failed to start. Port 8080 was already in use.

Action:

Identify and stop the process that's listening on port 8080 or configure this application to listen on another port.

2025-01-14 12:15:02 [main] INFO  : Starting ProApiApplication using Java 23.0.1 with PID 20776 (D:\Projects\Support Java\research_java\pro-api\target\classes started by Anshul in D:\Projects\Support Java\research_java\pro-api)
2025-01-14 12:15:02 [main] INFO  : The following 1 profile is active: "local"
2025-01-14 12:15:03 [main] INFO  : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-01-14 12:15:03 [main] INFO  : Finished Spring Data repository scanning in 153 ms. Found 18 JPA repository interfaces.
2025-01-14 12:15:04 [main] INFO  : Tomcat initialized with port 8083 (http)
2025-01-14 12:15:04 [main] INFO  : Initializing ProtocolHandler ["http-nio-8083"]
2025-01-14 12:15:04 [main] INFO  : Starting service [Tomcat]
2025-01-14 12:15:04 [main] INFO  : Starting Servlet engine: [Apache Tomcat/10.1.26]
2025-01-14 12:15:04 [main] INFO  : Initializing Spring embedded WebApplicationContext
2025-01-14 12:15:04 [main] INFO  : Root WebApplicationContext: initialization completed in 2355 ms
2025-01-14 12:15:05 [main] INFO  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-01-14 12:15:05 [main] INFO  : HHH000412: Hibernate ORM core version 6.5.2.Final
2025-01-14 12:15:05 [main] INFO  : HHH000026: Second-level cache disabled
2025-01-14 12:15:05 [main] INFO  : No LoadTimeWeaver setup: ignoring JPA class transformer
2025-01-14 12:15:05 [main] INFO  : HikariPool-1 - Starting...
2025-01-14 12:15:05 [main] INFO  : HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@1d2046bb
2025-01-14 12:15:05 [main] INFO  : HikariPool-1 - Start completed.
2025-01-14 12:15:05 [main] WARN  : HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-01-14 12:15:06 [main] WARN  : HHH000038: Composite-id class does not override equals(): com.pro.api.models.dataaccess.ViPartLookupId
2025-01-14 12:15:06 [main] WARN  : HHH000039: Composite-id class does not override hashCode(): com.pro.api.models.dataaccess.ViPartLookupId
2025-01-14 12:15:06 [main] WARN  : HHH000038: Composite-id class does not override equals(): com.pro.api.models.dataaccess.ViProjectTotalsSummedId
2025-01-14 12:15:06 [main] WARN  : HHH000039: Composite-id class does not override hashCode(): com.pro.api.models.dataaccess.ViProjectTotalsSummedId
2025-01-14 12:15:07 [main] INFO  : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-01-14 12:15:07 [main] INFO  : Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-01-14 12:15:07 [main] INFO  : Hibernate is in classpath; If applicable, HQL parser will be used.
2025-01-14 12:15:09 [main] WARN  : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-01-14 12:15:10 [main] INFO  : Starting ProtocolHandler ["http-nio-8083"]
2025-01-14 12:15:10 [main] INFO  : Tomcat started on port 8083 (http) with context path '/'
2025-01-14 12:15:10 [main] INFO  : Started ProApiApplication in 8.527 seconds (process running for 9.245)
2025-01-14 12:15:10 [main] INFO  : Hello PRO!
2025-01-14 12:15:27 [http-nio-8083-exec-3] INFO  : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-01-14 12:15:27 [http-nio-8083-exec-3] INFO  : Initializing Servlet 'dispatcherServlet'
2025-01-14 12:15:27 [http-nio-8083-exec-3] INFO  : Completed initialization in 1 ms
2025-01-14 20:04:08 [HikariPool-1 housekeeper] WARN  : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=42m29s833ms800ns).
